epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3375.79,1.10722,1.58299,1.21968,0.51723,0.60477,0.54097,0.23679,1.29673,1.83749,1.38147,0.000955072,0.000955072,0.000955072
43,3397.25,1.11251,1.58924,1.22708,0.52609,0.55308,0.51618,0.22597,1.32017,1.93288,1.43361,0.000952889,0.000952889,0.000952889
44,3418.13,1.10882,1.5928,1.23353,0.58524,0.55171,0.52449,0.22697,1.30822,1.88371,1.41118,0.000950658,0.000950658,0.000950658
45,3441.46,1.09437,1.55002,1.21397,0.49219,0.56613,0.50591,0.22685,1.2809,1.96796,1.38727,0.000948377,0.000948377,0.000948377
46,3464.8,1.09076,1.56171,1.21517,0.5087,0.58382,0.52173,0.23403,1.26611,1.88082,1.35236,0.000946048,0.000946048,0.000946048
47,3487.24,1.08764,1.52132,1.20501,0.5039,0.57894,0.51634,0.22913,1.28355,1.79767,1.37134,0.000943671,0.000943671,0.000943671
48,3508.62,1.09639,1.51459,1.20477,0.54971,0.56599,0.53913,0.23842,1.28021,1.82963,1.38139,0.000941245,0.000941245,0.000941245
49,3530.51,1.08926,1.51279,1.20939,0.55216,0.5775,0.5338,0.24491,1.30916,1.77454,1.41211,0.000938772,0.000938772,0.000938772
50,3553.87,1.0873,1.48631,1.19849,0.54482,0.59281,0.53079,0.23348,1.28722,1.78777,1.37907,0.000936251,0.000936251,0.000936251
51,3575.29,1.09079,1.50839,1.20366,0.53446,0.5838,0.51851,0.22598,1.32521,1.79494,1.41141,0.000933683,0.000933683,0.000933683
52,3593.69,1.09894,1.4937,1.20168,0.57356,0.61293,0.55926,0.25911,1.25902,1.77864,1.35265,0.000931067,0.000931067,0.000931067
53,3615.52,1.08163,1.47675,1.18758,0.529,0.62249,0.51718,0.231,1.3058,1.82736,1.39721,0.000928405,0.000928405,0.000928405
54,3640.09,1.07667,1.47149,1.18982,0.56721,0.58088,0.54598,0.24123,1.29759,1.84174,1.38084,0.000925697,0.000925697,0.000925697
55,3663.34,1.08158,1.465,1.19437,0.56868,0.58095,0.52767,0.22985,1.30656,1.97433,1.38665,0.000922942,0.000922942,0.000922942
56,3684.39,1.07952,1.46968,1.19177,0.51582,0.58514,0.52408,0.23006,1.29353,1.85414,1.38106,0.000920142,0.000920142,0.000920142
57,3706.08,1.08366,1.47321,1.19849,0.53502,0.59893,0.53323,0.23276,1.32493,1.87625,1.40947,0.000917296,0.000917296,0.000917296
58,3728.94,1.07129,1.45215,1.18029,0.57504,0.57972,0.54199,0.24235,1.28798,1.78931,1.37897,0.000914405,0.000914405,0.000914405
59,3750.22,1.06571,1.4051,1.17255,0.48889,0.61354,0.524,0.2243,1.27174,1.739,1.34955,0.000911469,0.000911469,0.000911469
60,3774.06,1.06944,1.41689,1.18111,0.55599,0.60226,0.5601,0.24604,1.28753,1.73314,1.35624,0.000908488,0.000908488,0.000908488
61,3797.13,1.06835,1.429,1.18545,0.54484,0.58225,0.53406,0.24027,1.2634,1.77826,1.35521,0.000905463,0.000905463,0.000905463
62,3820.19,1.07174,1.43737,1.18312,0.51389,0.60329,0.53936,0.24261,1.27992,1.74716,1.36237,0.000902395,0.000902395,0.000902395
63,3841.04,1.05437,1.41721,1.17425,0.55694,0.62983,0.53253,0.24556,1.28444,1.75636,1.35943,0.000899282,0.000899282,0.000899282
64,3862.45,1.07124,1.42274,1.18768,0.5644,0.61627,0.55416,0.24725,1.25089,1.72061,1.34632,0.000896127,0.000896127,0.000896127
65,3885.41,1.06158,1.4194,1.17461,0.59347,0.58744,0.5578,0.25698,1.24692,1.7656,1.34403,0.000892928,0.000892928,0.000892928
66,3905.81,1.04311,1.36172,1.15916,0.57526,0.59458,0.54752,0.25489,1.22806,1.687,1.31939,0.000889687,0.000889687,0.000889687
67,3927.29,1.06256,1.39337,1.17584,0.58763,0.61322,0.56273,0.25888,1.27572,1.74437,1.35733,0.000886404,0.000886404,0.000886404
68,3948.83,1.05704,1.38797,1.17014,0.5532,0.61662,0.54726,0.24773,1.27631,1.74308,1.35761,0.000883079,0.000883079,0.000883079
69,3970.11,1.05448,1.37505,1.16825,0.54366,0.58827,0.5312,0.23714,1.28897,1.77554,1.37589,0.000879713,0.000879713,0.000879713
70,3993.73,1.04826,1.37094,1.16551,0.58358,0.62224,0.56313,0.25424,1.27467,1.761,1.37109,0.000876305,0.000876305,0.000876305
71,4015.69,1.04079,1.35236,1.1545,0.58954,0.59641,0.56327,0.25703,1.27028,1.75634,1.36403,0.000872857,0.000872857,0.000872857
72,4037.44,1.04416,1.37775,1.16235,0.61692,0.63439,0.57713,0.26205,1.27309,1.68436,1.36371,0.000869368,0.000869368,0.000869368
73,4059.53,1.0356,1.35255,1.15646,0.56294,0.60391,0.54564,0.25766,1.27571,1.7899,1.3721,0.000865839,0.000865839,0.000865839
74,4080.13,1.04839,1.37399,1.16743,0.55673,0.60344,0.55442,0.24849,1.2702,1.78617,1.3658,0.000862271,0.000862271,0.000862271
75,4100.51,1.04055,1.33786,1.16206,0.57049,0.60479,0.55469,0.25998,1.2758,1.812,1.3591,0.000858664,0.000858664,0.000858664
76,4123.08,1.05143,1.38056,1.16846,0.52573,0.64004,0.55821,0.25447,1.27086,1.6915,1.34441,0.000855018,0.000855018,0.000855018
77,4143.3,1.02632,1.33625,1.14138,0.506,0.62173,0.53775,0.23785,1.27601,1.76054,1.36982,0.000851333,0.000851333,0.000851333
78,4165.08,1.04477,1.32221,1.16258,0.63631,0.56339,0.56072,0.24859,1.28329,1.69954,1.37861,0.000847611,0.000847611,0.000847611
79,4188.88,1.02371,1.32004,1.14263,0.57874,0.63871,0.5745,0.26557,1.25807,1.71134,1.33515,0.000843851,0.000843851,0.000843851
80,4208.3,1.03629,1.35923,1.15352,0.51179,0.60812,0.55355,0.25041,1.26426,1.74025,1.3656,0.000840054,0.000840054,0.000840054
81,4231.16,1.04034,1.32951,1.15342,0.58059,0.56748,0.56235,0.25301,1.25592,1.71611,1.34623,0.00083622,0.00083622,0.00083622
82,4256.93,1.02576,1.32591,1.13917,0.55194,0.61209,0.55402,0.2634,1.25697,1.71834,1.34346,0.000832349,0.000832349,0.000832349
83,4277.31,1.03514,1.32165,1.14654,0.52516,0.62612,0.55188,0.25565,1.24463,1.66998,1.33136,0.000828443,0.000828443,0.000828443
84,4296.15,1.03347,1.33038,1.15112,0.5191,0.63016,0.5285,0.24082,1.27157,1.70221,1.35482,0.000824502,0.000824502,0.000824502
85,4314.48,1.02788,1.33261,1.13866,0.52747,0.64089,0.55842,0.25845,1.24217,1.71794,1.3313,0.000820525,0.000820525,0.000820525
86,4333.33,1.02103,1.28625,1.13521,0.52978,0.65071,0.56182,0.26673,1.24042,1.75799,1.33314,0.000816514,0.000816514,0.000816514
87,4353.95,1.01846,1.28576,1.13151,0.56634,0.60411,0.55488,0.25827,1.27448,1.73217,1.35035,0.000812468,0.000812468,0.000812468
88,4373.06,1.01462,1.27322,1.1284,0.56751,0.60379,0.55063,0.25665,1.25194,1.72964,1.3405,0.000808389,0.000808389,0.000808389
